CaterpillarID,WanderWeight,HeadCapsuleWidth,WanderDate,WanderTime,Parasitized,ParasiteNumber,Comments
MS1,10.427,6.47,8/17/17,AM,,,
MS2,6.142,6.21,8/17/17,AM,,,Sick - appeared parasitized
MS3,8.447,6.45,8/17/17,AM,,,
MS4,8.073,5.51,8/18/17,AM,,,
MS5,10.7283,6.4,8/18/17,AM,,,
MS6,10.4811,6.23,8/18/17,AM,,,
MS7,5.4712,6.03,8/18/17,AM,,,
MS8,7.5607,6.32,8/18/17,AM,,,
MS9,NA,NA,NA,NA,Y,,"Found dead, parasitized"
MS10,7.8212,6.29,8/19/17,AM,,,
MS11,2.5229,5.97,8/19/17,AM,,,
MS12,6.607,5.87,8/19/17,AM,,,
MS13,7.0374,5.95,8/19/17,AM,,,
MS14,3.524,5.97,8/20/17,AM,,,
MS15,9.5018,6.15,8/20/17,AM,,,
MS16,6.164,6.2,8/20/17,AM,,,
MS19,2.0667,3.97,8/20/17,AM,,,Early wander - sick/parasitized
MS20,9.401,5.67,8/21/17,AM,,,
MS21,8.392,6.1,8/21/17,AM,,,
MS22,7.307,6.12,8/21/17,AM,,,
MS23,8.388,6.1,8/21/17,AM,,,
MS24,4.6596,5.84,8/22/17,AM,,,
MS25,7.624,5.9,8/22/17,AM,,,
MS26,3.0083,5.4,8/23/17,AM,,,Sick/parasitized
MS27,8.6823,6.17,8/23/17,AM,,,
MS28,6.82367,5.67,8/23/17,AM,,,
MS29,6.1934,6.38,8/23/17,AM,,,
MS30,7.6123,6.1,8/23/17,AM,,,
MS31,7.6013,5.93,8/23/17,AM,,,
MS 32,8.4117,5.7,8/24/17,AM,,,